Cityid,City,Year,avghmp,PopOver16,EmpRate,MBSA,Serv,Sales,NRCM,PTMM,MeanHouseInc,PercWhite,PercBlack,PercAsian,PercMale,MedianAge,TreatmentDum
1,Abilene,2010,108157,96272,0.53,0.315,0.203,0.313,0.09,0.079,57639,0.806,0.098,0.011,0.508,32.7,0
1,Abilene,2011,106243,99831,0.496,0.301,0.246,0.269,0.077,0.108,53241,0.815,0.107,0.021,0.516,32.5,0
1,Abilene,2012,104294,94349,0.51,0.289,0.238,0.258,0.113,0.102,55688,0.793,0.102,0.02,0.512,31.8,0
1,Abilene,2013,108181,93896,0.556,0.302,0.232,0.265,0.104,0.084,57788,0.783,0.096,0.019,0.521,30.9,0
1,Abilene,2014,112299,95172,0.551,0.28,0.218,0.263,0.119,0.12,59788,0.735,0.098,0.018,0.513,31.3,0
1,Abilene,2015,116714,99648,0.547,0.298,0.228,0.238,0.116,0.132,63859,0.725,0.102,0.013,0.518,31.3,0
1,Abilene,2016,120681,102154,0.524,0.308,0.236,0.242,0.113,0.101,60415,0.73,0.105,0.027,0.521,32.3,0
1,Abilene,2017,127252,97019,0.574,0.308,0.236,0.242,0.113,0.101,68977,0.702,0.117,0.028,0.516,31.1,0
1,Abilene,2018,130564,98003,0.557,0.317,0.198,0.235,0.101,0.149,65116,0.706,0.106,0.03,0.511,31.5,0
1,Abilene,2019,139348,97476,0.553,0.336,0.215,0.207,0.086,0.156,68646,0.765,0.113,0.022,0.503,32.4,0
2,Amarillo,2010,115376,147322,0.645,0.299,0.194,0.276,0.106,0.125,62553,0.836,0.071,0.029,0.503,33.8,0
2,Amarillo,2011,113572,146960,0.631,0.313,0.202,0.257,0.106,0.122,61621,0.826,0.064,0.031,0.491,33.5,0
2,Amarillo,2012,110901,147013,0.638,0.297,0.197,0.257,0.114,0.135,60129,0.825,0.062,0.032,0.485,32.8,0
2,Amarillo,2013,113800,148227,0.643,0.293,0.233,0.232,0.105,0.137,65897,0.838,0.063,0.038,0.49,33.1,0
2,Amarillo,2014,116919,150476,0.659,0.312,0.203,0.257,0.104,0.124,69308,0.839,0.058,0.035,0.485,33.4,0
2,Amarillo,2015,120790,149225,0.657,0.31,0.197,0.249,0.116,0.127,68259,0.839,0.054,0.04,0.498,33.8,0
2,Amarillo,2016,123928,150041,0.636,0.29,0.199,0.24,0.113,0.158,71176,0.819,0.068,0.04,0.488,34,0
2,Amarillo,2017,130385,152084,0.641,0.29,0.199,0.24,0.113,0.158,72157,0.856,0.075,0.051,0.481,34.3,0
2,Amarillo,2018,132297,150621,0.65,0.33,0.202,0.21,0.109,0.149,69089,0.828,0.07,0.045,0.488,33.7,0
2,Amarillo,2019,137133,150689,0.626,0.297,0.202,0.227,0.101,0.174,67909,0.814,0.072,0.052,0.488,34.7,0
3,Arlington,2010,130413,278266,0.646,0.333,0.172,0.272,0.104,0.119,65398,0.651,0.191,0.066,0.499,32,0
3,Arlington,2011,125994,282278,0.642,0.347,0.163,0.282,0.09,0.119,64885,0.64,0.199,0.086,0.497,31.2,0
3,Arlington,2012,121712,286044,0.66,0.335,0.16,0.276,0.096,0.133,71401,0.688,0.193,0.063,0.491,31.9,0
3,Arlington,2013,125991,286777,0.662,0.335,0.171,0.264,0.097,0.132,69256,0.68,0.176,0.073,0.488,32.4,0
3,Arlington,2014,136097,293159,0.633,0.347,0.178,0.257,0.075,0.142,69310,0.662,0.203,0.065,0.495,33.2,0
3,Arlington,2015,145083,299334,0.653,0.338,0.165,0.263,0.094,0.141,71900,0.626,0.229,0.073,0.492,32.6,0
3,Arlington,2016,159066,304182,0.65,0.319,0.184,0.254,0.092,0.151,72660,0.627,0.216,0.06,0.492,32.4,0
3,Arlington,2017,176467,302086,0.652,0.319,0.184,0.254,0.092,0.151,76973,0.619,0.262,0.069,0.465,33.1,0
3,Arlington,2018,195249,308020,0.687,0.314,0.177,0.266,0.095,0.149,81474,0.569,0.232,0.069,0.494,33.1,0
3,Arlington,2019,210106,311958,0.642,0.347,0.164,0.234,0.094,0.161,79655,0.525,0.239,0.07,0.485,33.6,0
18,Austin,2010,234413,633380,0.662,0.44,0.181,0.228,0.091,0.061,73355,0.713,0.08,0.059,0.506,0.309,0
18,Austin,2011,228446,658761,0.675,0.452,0.188,0.226,0.078,0.057,75245,0.702,0.079,0.064,0.505,0.313,0
18,Austin,2012,227565,675797,0.678,0.452,0.183,0.23,0.077,0.058,99542,0.769,0.078,0.064,0.504,0.317,0
18,Austin,2013,242888,709084,0.695,0.455,0.175,0.223,0.081,0.066,81309,0.777,0.074,0.062,0.503,0.32,0
18,Austin,2014,276687,733283,0.686,0.474,0.169,0.219,0.071,0.067,83566,0.769,0.079,0.071,0.507,0.326,0
18,Austin,2015,302644,754228,0.703,0.465,0.169,0.22,0.08,0.066,91478,0.733,0.076,0.075,0.511,0.327,0
18,Austin,2016,327905,762884,0.719,0.485,0.152,0.219,0.083,0.061,94820,0.825,0.036,0.088,0.49,0.379,0
18,Austin,2017,346950,775804,0.71,0.496,0.15,0.213,0.076,0.065,96046,0.749,0.09,0.09,0.507,0.334,0
18,Austin,2018,363563,793143,0.712,0.51,0.152,0.201,0.067,0.07,106079,0.741,0.097,0.091,0.504,0.336,0
18,Austin,2019,378347,806581,0.716,0.549,0.15,0.177,0.058,0.066,107091,0.764,0.094,0.099,0.506,0.339,0
4,College Station,2010,169207,83028,0.559,0.463,0.164,0.275,0.052,0.047,58798,0.778,0.065,0.094,0.526,22.5,0
4,College Station,2011,169655,81319,0.561,0.461,0.191,0.27,0.052,0.026,52362,0.784,0.061,0.095,0.522,22.4,0
4,College Station,2012,166633,83889,0.515,0.486,0.164,0.262,0.037,0.051,56268,0.799,0.065,0.094,0.509,22.3,0
4,College Station,2013,171056,86372,0.573,0.422,0.186,0.279,0.043,0.07,59172,0.792,0.076,0.079,0.496,22.6,0
4,College Station,2014,177297,88495,0.552,0.47,0.167,0.21,0.085,0.068,57779,0.778,0.061,0.104,0.521,22.4,0
4,College Station,2015,190162,91765,0.591,0.489,0.151,0.262,0.045,0.053,63383,0.77,0.099,0.092,0.502,22.9,0
4,College Station,2016,202728,95450,0.562,0.503,0.176,0.219,0.042,0.06,69972,0.785,0.077,0.108,0.506,22.5,0
4,College Station,2017,217618,95268,0.567,0.503,0.176,0.219,0.042,0.06,72112,0.805,0.084,0.119,0.515,22.9,0
4,College Station,2018,230165,100202,0.54,0.58,0.128,0.177,0.038,0.077,74034,0.788,0.058,0.104,0.513,23.1,0
4,College Station,2019,237686,100344,0.577,0.487,0.176,0.238,0.035,0.065,79232,0.788,0.072,0.094,0.51,23.6,0
5,Denton,2010,155212,96613,0.625,0.391,0.182,0.284,0.056,0.086,60144,0.76,0.114,0.05,0.493,27,0
5,Denton,2011,148617,97068,0.613,0.347,0.273,0.227,0.045,0.107,64992,0.745,0.121,0.045,0.485,26.9,0
5,Denton,2012,147755,97844,0.591,0.354,0.226,0.279,0.049,0.091,62432,0.767,0.126,0.033,0.483,27.2,0
5,Denton,2013,156627,104316,0.597,0.365,0.18,0.287,0.077,0.091,66036,0.769,0.123,0.04,0.477,28.8,0
5,Denton,2014,168626,106253,0.643,0.388,0.212,0.23,0.065,0.105,63931,0.795,0.102,0.029,0.496,29.4,0
5,Denton,2015,178478,108003,0.616,0.388,0.204,0.23,0.072,0.107,66173,0.791,0.116,0.046,0.477,28.7,0
5,Denton,2016,198960,109190,0.647,0.392,0.207,0.251,0.062,0.087,70386,0.777,0.102,0.044,0.47,28.1,0
5,Denton,2017,217171,114783,0.606,0.392,0.207,0.251,0.062,0.087,74679,0.796,0.11,0.057,0.468,29.9,0
5,Denton,2018,234713,118254,0.663,0.362,0.2,0.261,0.068,0.11,81569,0.768,0.109,0.049,0.482,29.1,0
5,Denton,2019,248527,118489,0.654,0.427,0.203,0.207,0.066,0.096,81850,0.773,0.104,0.04,0.487,29.5,0
20,Flower Mound,2010,276142,50000,0.678,0.556,0.08,0.259,0.062,0.043,132107,0.841,0.049,0.067,0.467,0.365,0
20,Flower Mound,2011,268065,51000,0.678,0.556,0.08,0.259,0.062,0.043,143716,0.841,0.049,0.067,0.491,0.377,0
20,Flower Mound,2012,266687,52387,0.676,0.57,0.088,0.271,0.033,0.039,146290,0.841,0.049,0.067,0.494,0.403,0
20,Flower Mound,2013,282068,50829,0.71,0.591,0.102,0.216,0.027,0.064,137452,0.846,0.035,0.084,0.495,0.407,0
20,Flower Mound,2014,304873,53664,0.694,0.562,0.082,0.269,0.039,0.048,146854,0.788,0.041,0.123,0.482,0.405,0
20,Flower Mound,2015,325633,54333,0.694,0.545,0.109,0.265,0.03,0.052,147361,0.832,0.042,0.082,0.496,0.402,0
20,Flower Mound,2016,355518,53852,0.706,0.599,0.082,0.239,0.02,0.06,151620,0.572,0.226,0.074,0.5,0.33,0
20,Flower Mound,2017,374181,58408,0.682,0.59,0.103,0.214,0.021,0.072,155515,0.795,0.08,0.132,0.483,0.416,0
